circuitId,circuitRef,name,location,country,lat,lng,alt
1,albert_park,Albert park grand prix circuit,Melbourne,Australia,-37.8497,144.968,10
2,sepang,Sepang international circuit,Kuala lumpur,Malaysia,2.76083,101.738,0
3,bahrain,Bahrain international circuit,Sakhir,Bahrain,26.0325,50.5106,0
4,catalunya,Circuit de barcelona-catalunya,Montmelì ,Spain,41.57,2.26111,0
5,istanbul,Istanbul park,Istanbul,Turkey,40.9517,29.405,0
6,monaco,Circuit de monaco,Monte-carlo,Monaco,43.7347,7.42056,0
7,villeneuve,Circuit gilles villeneuve,Montreal,Canada,45.5,-73.5228,0
8,magny_cours,Circuit de nevers magny-cours,Magny cours,France,46.8642,3.16361,0
9,silverstone,Silverstone circuit,Silverstone,Uk,52.0786,-1.01694,0
10,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,0
11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,0
12,valencia,Valencia street circuit,Valencia,Spain,39.4589,-0.331667,0
13,spa,Circuit de spa-francorchamps,Spa,Belgium,50.4372,5.97139,0
14,monza,Autodromo nazionale di monza,Monza,Italy,45.6156,9.28111,0
15,marina_bay,Marina bay street circuit,Marina bay,Singapore,1.2914,103.864,0
16,fuji,Fuji speedway,Oyama,Japan,35.3717,138.927,0
17,shanghai,Shanghai international circuit,Shanghai,China,31.3389,121.22,0
18,interlagos,Autì dromo josì© carlos pace,Sì£o paulo,Brazil,-23.7036,-46.6997,0
19,indianapolis,Indianapolis motor speedway,Indianapolis,Usa,39.795,-86.2347,0
20,nurburgring,Nì rburgring,Nì rburg,Germany,50.3356,6.9475,0
21,imola,Autodromo enzo e dino ferrari,Imola,Italy,44.3439,11.7167,0
22,suzuka,Suzuka circuit,Suzuka,Japan,34.8431,136.541,0
23,osterreichring,A1-ring,Spielburg,Austria,47.2197,14.7647,0
24,yas_marina,Yas marina circuit,Abu dhabi,Uae,24.4672,54.6031,0
25,galvez,Autì dromo juan y oscar gìálvez,Buenos aires,Argentina,-34.6943,-58.4593,0
26,jerez,Circuito de jerez,Jerez de la frontera,Spain,36.7083,-6.03417,0
27,estoril,Autì dromo do estoril,Estoril,Portugal,38.7506,-9.39417,0
28,okayama,Okayama international circuit,Okayama,Japan,34.915,134.221,0
29,adelaide,Adelaide street circuit,Adelaide,Australia,-34.9272,138.617,0
30,kyalami,Kyalami,Midrand,South africa,-25.9894,28.0767,0
31,donington,Donington park,Castle donington,Uk,52.8306,-1.37528,0
32,rodriguez,Autì dromo hermanos rodrì guez,Mexico city,Mexico,19.4042,-99.0907,0
33,phoenix,Phoenix street circuit,Phoenix,Usa,33.4479,-112.075,0
34,ricard,Circuit paul ricard,Le castellet,France,43.2506,5.79167,0
35,yeongam,Korean international circuit,Yeongam county,Korea,34.7333,126.417,0
36,jacarepagua,Autì dromo internacional nelson piquet,Rio de janeiro,Brazil,-22.9756,-43.395,0
37,detroit,Detroit street circuit,Detroit,Usa,42.3298,-83.0401,0
38,brands_hatch,Brands hatch,Kent,Uk,51.3569,0.263056,0
39,zandvoort,Circuit park zandvoort,Zandvoort,Netherlands,52.3888,4.54092,0
40,zolder,Zolder,Heusden-zolder,Belgium,50.9894,5.25694,0
41,dijon,Dijon-prenois,Dijon,France,47.3625,4.89913,0
42,dallas,Fair park,Dallas,Usa,32.7774,-96.7587,0
43,long_beach,Long beach,California,Usa,33.7651,-118.189,0
