raceId,round,circuitId,name,date,time
1,1,1,Australian Grand Prix,2009-03-29,06:00:00
2,2,2,Malaysian Grand Prix,2009-04-05,09:00:00
3,3,17,Chinese Grand Prix,2009-04-19,07:00:00
4,4,3,Bahrain Grand Prix,2009-04-26,12:00:00
5,5,4,Spanish Grand Prix,2009-05-10,12:00:00
6,6,6,Monaco Grand Prix,2009-05-24,12:00:00
7,7,5,Turkish Grand Prix,2009-06-07,12:00:00
8,8,9,British Grand Prix,2009-06-21,12:00:00
9,9,20,German Grand Prix,2009-07-12,12:00:00
10,10,11,Hungarian Grand Prix,2009-07-26,12:00:00
11,11,12,European Grand Prix,2009-08-23,12:00:00
12,12,13,Belgian Grand Prix,2009-08-30,12:00:00
13,13,14,Italian Grand Prix,2009-09-13,12:00:00
14,14,15,Singapore Grand Prix,2009-09-27,12:00:00
15,15,22,Japanese Grand Prix,2009-10-04,05:00:00
16,16,18,Brazilian Grand Prix,2009-10-18,16:00:00
17,17,24,Abu Dhabi Grand Prix,2009-11-01,11:00:00
18,1,1,Australian Grand Prix,2008-03-16,04:30:00
19,2,2,Malaysian Grand Prix,2008-03-23,07:00:00
20,3,3,Bahrain Grand Prix,2008-04-06,11:30:00
21,4,4,Spanish Grand Prix,2008-04-27,12:00:00
22,5,5,Turkish Grand Prix,2008-05-11,12:00:00
23,6,6,Monaco Grand Prix,2008-05-25,12:00:00
24,7,7,Canadian Grand Prix,2008-06-08,17:00:00
25,8,8,French Grand Prix,2008-06-22,12:00:00
26,9,9,British Grand Prix,2008-07-06,12:00:00
27,10,10,German Grand Prix,2008-07-20,12:00:00
28,11,11,Hungarian Grand Prix,2008-08-03,12:00:00
29,12,12,European Grand Prix,2008-08-24,12:00:00
30,13,13,Belgian Grand Prix,2008-09-07,12:00:00
31,14,14,Italian Grand Prix,2008-09-14,12:00:00
32,15,15,Singapore Grand Prix,2008-09-28,12:00:00
33,16,16,Japanese Grand Prix,2008-10-12,04:30:00
34,17,17,Chinese Grand Prix,2008-10-19,07:00:00
35,18,18,Brazilian Grand Prix,2008-11-02,17:00:00
